,name,born,proven_victims,estimated_victims,zodiac_sign
0,"Ables, Tony",12/28/1954,4,4+,capricorn
1,"Agrue, John",9/11/1947,3,3+,virgo
2,"Albanese, Charles",6/13/1937,3,3,gemini
3,"Albright, Charles",8/10/1933,3,3,leo
4,"Alcala, Rodney",8/23/1943,8,50–230,virgo
5,The Dating Game,12/20/1965,8,50–230,sagittarius
6,"Alix, Franklin DeWayne",8/6/1975,3,4+,leo
7,"Allen, Howard",2/10/1949,3,3,aquarius
8,"Allen, Quincy",11/7/1979,4,4,scorpio
9,"Allridge, Ronald",9/27/1960,3,3,libra
10,"Amati, Tony Ray",6/28/1976,3,3,cancer
11,"Anderson, Stephen Wayne",7/8/1953,9,9+,cancer
12,"Angelo, Richard",8/29/1962,4,10,virgo
13,"Archerd, William Dale",5/5/1912,3,6,taurus
14,"Archer-Gilligan, Amy",1917,10,50,
15,"Arguelles, Roberto",2/14/1962,4,4+,aquarius
16,"Armstrong, John Eric",11/23/1973,5,18,sagittarius
17,"Atkins, Benjamin",8/26/1968,11,11,virgo
18,"Avila-Torrez, Jorge",8/18/1988,3,3,leo
19,"Balaam, Anthony",7/9/1965,4,4,cancer
20,"Baldi, Joseph",1/16/1941,4,4,capricorn
21,"Ball, Joe",1896-01-07,2,20,capricorn
22,"Barber, Danny",5/8/1955,4,4,taurus
23,"Barfield, Velma",10/29/1932,1,6,scorpio
24,"Barone, Cesar",12/4/1960,4,4+,sagittarius
25,"Barrett, Eugene",6/30/1931,3,3,cancer
26,"Baughman, John",10/4/1941,1,3,libra
27,"Baumeister, Herb",4/7/1947,11,20,aries
28,"Baxter, Patrick",4/28/1969,3,3,taurus
29,"Beamon, Rocky",12/10/1977,3,3,sagittarius
30,"Beardslee, Donald",5/13/1943,3,3,taurus
31,"Beck, Martha",12/17/1914,3,20,sagittarius
32,Raymond Fernandez,12/17/1914,3,20,sagittarius
33,"Bell, Cimarron",4/7/1974,4,4,aries
34,"Berdella, Robert",1/31/1949,6,6,aquarius
35,"Berkowitz, David",6/1/1953,6,6,gemini
36,"Betterton, Monroe",1872-03-24,3,3,aries
37,"Bianchi, Kenneth",5/22/1951,12,12,gemini
38,Angelo Buono Jr.,10/5/1934,12,12,libra
39,Hillside Stranglers,5/22/1951,12,12,gemini
40,"Biehler, Robert",8/5/1934,4,4,leo
41,"Bishop, Arthur Gary",9/29/1952,5,5,libra
42,"Bittaker, Lawrence",9/27/1940,5,5,libra
43,Roy Norris,9/27/1940,5,5,libra
44,"Bittrolff, John",7/1/1966,2,4+,cancer
45,"Bladel, Rudy",12/8/1932,3,7,sagittarius
46,"Blair, Terry",9/16/1961,7,9,virgo
47,"Bolin, Oscar Ray",1/22/1962,4,4+,aquarius
48,"Bolsinger, John Charles",9/17/1957,4,4,virgo
49,"Bonin, William",1/8/1947,21,36+,capricorn
50,"Bounds, Dallen",8/9/1971,4,4+,leo
51,"Bowles, Gary Ray",1/25/1962,6,6+,aquarius
52,"Boyd, Charles Anthony",8/17/1959,3,3,leo
53,"Bradford, William Richard",5/18/1946,2,28+,taurus
54,"Bradley, James Opelton",9/8/1962,3,3,virgo
55,"Brant, Joe",7/13/1969,4,4+,cancer
56,"Brashers, Robert Eugene",3/13/1958,3,3+,pisces
57,"Breslin, Joseph",5/21/1950,3,3,gemini
58,"Bright, Larry",7/8/1966,8,8+,cancer
59,"Britt, Eugene",11/4/1957,7,10,scorpio
60,Briley Brothers,3/26/1954,12,21,aries
61,"Broadnax, Donald",1/1/1961,3,3,capricorn
62,"Brooks, Shelly",1/22/1969,7,20+,aquarius
63,"Brown, Curtis Don",8/2/1958,3,18,leo
64,"Brown, Debra Denise",11/6/1955,8,8,scorpio
65,Alton Coleman,11/6/1955,8,8,scorpio
66,"Brown, Kenyel",7/3/1979,6,6,cancer
67,"Browne, Robert Charles",10/31/1952,2,2+,scorpio
68,"Brudos, Jerry",1/31/1939,4,4+,aquarius
69,"Brummett, Lyle",12/26/1956,2,3,capricorn
70,"Buell, Robert Anthony",9/10/1940,2,3+,virgo
71,"Buenoano, Judy",4/4/1943,3,3+,aries
72,"Bullock, David",11/13/1960,6,6+,scorpio
73,"Bunday, Thomas",9/28/1948,5,6,libra
74,"Bundy, Carol M.",8/26/1942,7,7,virgo
75,Doug Clark,3/10/1948,7,7,pisces
76,"Bundy, Ted",11/24/1946,28,30+,sagittarius
77,"Buono Jr., Angelo",10/5/1934,9,10,libra
78,Kenneth Bianchi,5/22/1951,9,10,gemini
79,"Busch, Henry",12/30/1931,3,3,capricorn
80,"Caputo, Ricardo",1949,4,6,
81,"Carignan, Harvey",5/18/1927,3,5+,taurus
82,"Caro, Fernando Eros",12/3/1949,3,5+,sagittarius
83,"Carpenter, David",5/6/1930,7,10+,taurus
84,"Carr, Robert Frederick",12/22/1943,4,4,capricorn
85,"Carr, Thomas D.",1846-03-06,1,15,pisces
86,"Carson, Michael Bear",11/28/1950,3,12,sagittarius
87,"Carson, Suzan",11/28/1950,3,12,sagittarius
88,"Catoe, Jarvis",10/6/1905,8,11,libra
89,"Chase, Richard",5/23/1950,6,6,gemini
90,"Chavez, Juan Rodriguez",4/27/1968,12,12,taurus
91,"Childers, James",2/8/1964,2,5+,aquarius
92,"Childs, Terry",9/22/1955,5,12,virgo
93,"Cherry, Ervin",3/26/1966,3,3,aries
94,"Chester, Elroy",6/14/1969,5,5,gemini
95,"Christiansen, Thor Nis",12/28/1957,4,4,capricorn
96,"Christopher, Joseph",7/26/1955,12,12+,leo
97,"Clark, Doug",3/10/1948,7,7,pisces
98,Carol M. Bundy,8/26/1942,7,7,virgo
99,"Clark, Hadden",7/31/1952,2,2+,leo
100,"Clark, Roland E.",8/1/1911,2,9,leo
101,"Clark, Vernon Lee",12/28/1955,4,6+,capricorn
102,"Clement, Mary",1863-02-16,4,4,aquarius
103,"Cline, Alfred Leonard",1888-03-12,9,11,pisces
104,"Code, Nathaniel",3/12/1956,8,12,pisces
105,"Coffman, Cynthia",1/19/1962,4,4,capricorn
106,"Coleman, Alton",11/6/1955,8,8,scorpio
107,"Collins, Harvey",10/5/1925,3,3,libra
108,"Colvin, Dellmus",8/3/1959,7,7+,leo
109,"Conde, Rory Enrique",6/14/1965,6,6,gemini
110,"Cook, Anthony",3/9/1949,9,9+,pisces
111,Nathaniel Cook,3/9/1949,9,9+,pisces
112,"Cook, Nathaniel",3/9/1949,9,9+,pisces
113,Anthony Cook,3/9/1949,9,9+,pisces
114,"Cooper, Samuel",1/12/1977,5,5,capricorn
115,"Corll, Dean",12/24/1939,28,28+,capricorn
116,Elmer Wayne Henley,5/9/1956,28,28+,taurus
117,David Owen Brooks,2/12/1955,28,28+,aquarius
118,"Corona, Juan",2/7/1934,25,25+,aquarius
119,"Corwin, Daniel Lee",9/13/1958,3,3,virgo
120,"Costa, Tony",8/2/1944,4,8,leo
121,"Cota, Fernando",6/20/1946,6,6,gemini
122,"Cottingham, Richard",11/25/1946,11,85–100,sagittarius
123,"Covington, Juan",3/3/1962,3,3+,pisces
124,"Cowan, Mary",1863-03-08,6,6,pisces
125,"Cox, Frederick Pete",8/27/1953,3,3,virgo
126,"Cox, Scott William",11/3/1963,5,20+,scorpio
127,"Craine, Louis",1/6/1957,4,5+,capricorn
128,"Creech, Thomas Eugene",9/9/1950,5,42,virgo
129,"Cullen, Charles",2/22/1960,10,40+,pisces
130,"Cunanan, Andrew",8/31/1969,5,5,virgo
131,Gianni Versace,12/2/1946,5,5,sagittarius
132,"Dahmer, Jeffrey",5/21/1960,17,17,gemini
133,Christopher Scarver,7/6/1969,17,17,cancer
134,"Danielson, Robert Wayne",8/25/1946,7,7,virgo
135,"Danks, Joseph Martin",6/17/1962,7,7,gemini
136,"Davis, Bruce Alan",9/3/1948,3,33,virgo
137,"Davis, Charles William",6/18/1947,3,3+,gemini
138,"Davis, Frank",1/29/1953,3,3,aquarius
139,"Davis, Girvies",1/20/1958,4,9+,aquarius
140,Richard Holman,1/20/1958,4,9+,aquarius
141,"DeAngelo, Joseph James",11/8/1945,13,13+,scorpio
142,"Dennis, Jerome",12/14/1966,5,5,sagittarius
143,"Dewantoro, Harnoko",11/3/1964,3,3,scorpio
144,"Dieteman, Samuel",2/4/1973,8,8,aquarius
145,Dale Hausner,2/4/1973,8,8,aquarius
146,"Dillon, Thomas",7/9/1950,5,5+,cancer
147,"Dodd, Westley Allan",7/3/1961,3,3,cancer
148,"Dominique, Ronald",1/9/1964,23,23+,capricorn
149,"Dorsey, Leon",11/17/1975,3,3,scorpio
150,"Doss, Nannie",11/4/1905,8,11,scorpio
151,"Duffy, Charles Lee",5/10/1976,3,3,taurus
152,"Dugan, Brian",9/23/1956,3,3,libra
153,"Duncan, Joseph Edward",2/25/1963,5,7,pisces
154,"Duncan, Vender",2/18/1928,3,3,aquarius
155,"Durousseau, Paul",8/11/1970,7,7+,leo
156,"Edwards, Andrew David",3/6/1958,4,4,pisces
157,"Eichinger, John",2/18/1972,4,4,aquarius
158,"Ellis, Walter E.",6/24/1960,8,10+,cancer
159,"Engleman, Glennon",2/6/1927,5,7+,aquarius
160,"Erskine, Scott",12/22/1962,3,3+,capricorn
161,"Ervin, Joe Michael",6/25/1951,6,6,cancer
162,"Escobar, Ramon",5/6/1971,7,7,taurus
163,Tom Tobin,1823-05-01,32,32,taurus
164,"Evans, Gary",10/7/1954,5,5,libra
165,"Evonitz, Richard",7/29/1963,3,3+,leo
166,"Ewell, John",3/25/1957,4,4,aries
167,"Eyler, Larry",12/21/1952,21,24,sagittarius
168,"Falling, Christine",3/12/1963,6,6,pisces
169,"Falls, Neal",9/24/1969,0,10+,libra
170,"Fautenberry, John",7/4/1963,5,6,cancer
171,"Fayne, Lorenzo",4/2/1971,6,6,aries
172,"Feltner, Jeffrey",11/21/1962,7,7,scorpio
173,"Ferguson, John Errol",2/27/1948,8,12,pisces
174,"Fernandes, Roberto Wagner",4/26/1965,3,4+,taurus
175,"Fernandez, Raymond",12/17/1914,3,20,sagittarius
176,Martha Beck,12/17/1914,3,20,sagittarius
177,"Figueroa, Danny",9/24/1959,3,3,libra
178,"Fish, Albert",1870-05-19,3,8+,taurus
179,"Flowers, Norman",3/15/1974,3,3,pisces
180,"Ford, Lester",2/11/1963,3,3,aquarius
181,"Ford, Wayne Adam",12/3/1961,4,4+,sagittarius
182,"Forte, Linwood",7/25/1964,3,4,leo
183,"Fountain, Clayton Anthony",9/12/1955,5,5,virgo
184,"Francois, Kendall",7/26/1971,8,10+,leo
185,"Franklin, Joseph Paul",4/13/1950,11,22,aries
186,Larry Flynt,11/1/1942,11,22,scorpio
187,Vernon Jordan,8/15/1935,11,22,leo
188,"Franklin Jr., Lonnie David",8/30/1952,10,25+,virgo
189,"Gacy, John Wayne",3/17/1942,33,33-45+,pisces
190,"Gallego, Gerald",7/17/1946,10,10,cancer
191,"Gargiulo, Michael",2/15/1976,3,10,aquarius
192,"Garrison, Wayne Henry",8/26/1959,3,3,virgo
193,"Gary, Carlton",9/24/1950,4,8+,libra
194,"Gay, Randy",9/1/1958,3,3,virgo
195,"Gaynor, Alfred",12/10/1966,9,9,sagittarius
196,"Gecht, Robin",11/30/1953,18,18,sagittarius
197,"Gein, Ed",8/27/1906,2,7,virgo
198,The Silence of the Lambs,5/19/1988,2,7,taurus
199,The Texas Chain Saw Massacre,10/11/1974,2,7,libra
200,"Geralds, Hubert",11/13/1964,5,5,scorpio
201,"Gibbs, Janie Lou",1967,5,5,
202,"Gibson, William Clyde",10/10/1957,3,3+,libra
203,"Gilbert, Kristen",11/13/1967,4,4+,scorpio
204,"Giles, Bernard",4/9/1953,5,5,aries
205,"Gillis, Sean Vincent",6/24/1962,8,8,cancer
206,"Gilyard, Lorenzo",5/24/1950,12,13,gemini
207,"Glaze, Billy",7/13/1943,3,20+,cancer
208,"Gleason, Robert Charles",4/10/1970,3,3+,aries
209,"Goble, Sean Patrick",11/1/1966,3,3+,scorpio
210,"Gomez, Lloyd",12/6/1923,9,9,sagittarius
211,"Gordon, Steven Dean",2/3/1969,4,5,aquarius
212,"Gore, David Alan",8/21/1953,6,6,leo
213,"Gore, Marshall Lee",8/17/1963,2,2+,leo
214,"Gosnell, Kermit Barron",2/9/1941,4,7+,aquarius
215,"Goudeau, Mark",9/6/1964,9,9,virgo
216,"Graham, Gwendolyn",8/6/1963,5,6,leo
217,Cathy Wood,8/6/1963,5,6,leo
218,"Graham, Harrison",9/9/1959,7,7,virgo
219,"Grant, Gary",6/29/1951,4,4,cancer
220,"Granviel, Kenneth",8/4/1950,7,9,leo
221,"Grate, Shawn",8/8/1976,5,5,leo
222,"Gray, Dana Sue",12/6/1957,3,3,sagittarius
223,"Gray, Marvin",8/7/1954,3,41,leo
224,"Gray, Ronald",8/14/1965,4,4,leo
225,"Green, Ricky Lee",12/27/1960,4,12,capricorn
226,"Greenawalt, Randy",2/24/1949,7,9,pisces
227,"Greenwell, Harry Edward",12/9/1944,3,3,sagittarius
228,"Greenwood, Vaughn",1/19/1944,11,11,capricorn
229,"Gretzler, Douglas",5/21/1951,11,17,gemini
230,"Gribble, Timothy",8/27/1963,2,3,virgo
231,"Groves, Vincent",4/19/1954,7,20+,aries
232,"Halbower, Rodney",6/27/1948,2,5,cancer
233,Gypsy Hill killings,8-Jan-76,2,5,
234,"Hance, William Henry",11/10/1951,4,4,scorpio
235,"Hankins, Terry",10/10/1974,5,5,libra
236,"Hansen, Robert",2/15/1939,17,21+,aquarius
237,"Harding, Donald Eugene",3/1/1949,6,7+,pisces
238,"Harris, Michael Darnell",3/7/1963,4,10,pisces
239,"Harrison, Kenneth",9/4/1938,4,4,virgo
240,"Harris, Robert Wayne",2/28/1972,6,6,pisces
241,"Harvey, Donald",4/15/1952,37,80,aries
242,"Hassell, George",1888-07-05,13,13,cancer
243,"Hatcher, Charles Ray",7/16/1929,2,16,cancer
244,"Hausner, Dale",2/4/1973,8,8,aquarius
245,"Hayes, Robert",3/12/1982,3,7+,pisces
246,"Hazzard, Linda",1867-12-18,1,13,sagittarius
247,"Heirens, William",11/15/1928,3,3,scorpio
248,"Henley, Elmer Wayne",5/9/1956,6,8+,taurus
249,Dean Corll,12/24/1939,6,8+,capricorn
250,"Henry, John Ruthell",1/16/1951,3,3,capricorn
251,"Hernandez, Ramon Torres",11/8/1971,3,5+,scorpio
252,"Herzog, Loren",12/8/1965,3,19,sagittarius
253,Wesley Shermantine,12/8/1965,3,19,sagittarius
254,"Hickey, J. Frank",1865-10-29,3,3,scorpio
255,"Hickson, Monroe",7/8/1908,4,4,cancer
256,"Hill, Ivan",3/30/1961,9,9+,aries
257,"Hill, Walter",2/7/1935,5,5,aquarius
258,"Hilton, Gary",11/22/1946,4,4+,sagittarius
259,"Hittle, Daniel",3/1/1950,7,7,pisces
260,"Holman, Richard",1/20/1958,4,9+,aquarius
261,Girvies Davis,1/20/1958,4,9+,aquarius
262,"Holmes, H. H.",1861-05-16,9,27+,taurus
263,"Hooker, John Michael",10/9/1953,3,3,libra
264,"Honken, Dustin Lee",3/22/1968,5,5,aries
265,Angela Johnson,3/22/1968,5,5,aries
266,"Hopkins, John W.",6/3/1953,3,3+,gemini
267,"Howell, William Devin",2/11/1970,7,7,aquarius
268,"Hoyt, Waneta",5/13/1946,5,5,taurus
269,"Hughes, Mervin Ray",1/27/1969,3,4+,aquarius
270,"Hughes, Philip Joseph",1/29/1948,3,3+,aquarius
271,"Huntsman, Megan",2/26/1975,6,6,pisces
